audio_clip,audio_description,duration,file_path,file_size_bytes,numOfAudioClips,video
5db09a8264cbea25aceebf73,5db09a8264cbea25aceebf74,34.730666666666664,/current/3vUtRRZG0xY,6668332,3,5c7c7ef7cfe5b70c5f19de8d
5d2cd357d62956084888a92a,5d2cd357d62956084888a92b,22.101333333333333,/current/Guv5XhFRqA4,4243500,1,5d2cd2a56e1ff55b95381a93
5d2ce86b340657085310ba9c,5d2ce86b340657085310ba9d,3.900952380952381,/current/KY-4VyUY8hk,688172,1,5d2ce27a340657085310ba9b
5d41bf6489ac8343b4474bf2,5d41bf6489ac8343b4474bf3,85.16266666666667,/current/hsUfo_jHQ60,16351276,1,5d41bf4b89ac8343b4474bf1
5d41c7abcf4983503b035120,5d41c7abcf4983503b035121,6.485333333333333,/current/--YU8YcWeUU,1245228,1,5d41c7a0cf4983503b03511f
5dbceeae55e4e43fb00ff2d0,5dbceeae55e4e43fb00ff2d1,79.616,/current/sFpk-mgEwVo,15286316,1,5d6542468302113cc4be4f54
5dc31d4740c63e4ceb1ba0f2,5dc31d4840c63e4ceb1ba0f3,6.144,/current/0A8nEfYmmtM,1179692,1,58e7cf2946e13dfd851a1c1d
5debe34e00e5e035bf025c99,5debe34e00e5e035bf025c9a,5.376,/current/zC8E-eeVhnA,1032236,1,5debde2867c0962c540c996d
5ded35693568613e35e7eff2,5ded35693568613e35e7eff3,14.250666666666667,/current/4z2DtNW79sQ,2736172,1,5d9630d97e4681160da293cc
5defbf5340e8cc4b6f32ed31,5defbf5340e8cc4b6f32ed32,2.7306666666666666,/current/sIsS73PeaXI,524332,1,596ae9238451264bf2ab93a7
5df0b19c663d326279c908a1,5df0b19c663d326279c908a2,5.205333333333333,/current/EnnZnxhDU-4,999468,2,5c40c8a7bea4b51e5c711040
5e65da574ab7702731c58978,5e65da574ab7702731c58979,2.6006349206349206,/current/T9GFyZ5LREQ,458796,3,5e5e0efc94610c7d6863bfea
5e8117ad4415bf48480faa5c,5e8117ad4415bf48480faa5d,3.2426666666666666,/current/wx-kvJlKvJI,622636,15,5e40c81a0b19d71e3f68cdf9
5e8eac04b1ce4a0a221f323d,5e8eac04b1ce4a0a221f323e,3.436553287981859,/current/qi2m4V21bw4,606252,1,5c6bb19acfe5b70c5f19dc88
5eb955497f0f7b57fa319905,5eb955497f0f7b57fa319906,16.64,/current/oMjfTDXcKo0,3194924,1,5eb9553f7f0f7b57fa319903
5eb955857f0f7b57fa319907,5eb955857f0f7b57fa319908,10.069333333333333,/current/oMjfTDXcKo0,1933356,1,5eb9553f7f0f7b57fa319903
5e9796a1afba3146aec3f58c,5e9796a1afba3146aec3f58d,3.3436734693877552,/current/M_o2z9jU_VE,589868,1,5e9753200f1dbb0a2d3b6326
5ec3f05ad8088e3397699335,5ec3f05ad8088e3397699336,14.250666666666667,/current/syaQgmxb5i0,2736172,1,5ec3ee5ed8088e3397699331
5ec3f177d8088e3397699337,5ec3f177d8088e3397699338,30.293333333333333,/current/syaQgmxb5i0,5816364,1,5ec3ee5ed8088e3397699331
5eb4a2a4c5520751804911d3,5eb4a2a4c5520751804911d4,8.192,/current/_La7IMssNOA,1572908,1,5eb469afc5520751804911cf
5e380e6d0b19d71e3f68cd5c,5e380e6d0b19d71e3f68cd5d,1.4506666666666668,/current/kYxyCUL7tBs,278572,1,5e3613c00b19d71e3f68cd23
5ee3a1e19b6f6f0d30a3d670,5ee3a1e19b6f6f0d30a3d671,6.058666666666666,/current/8zQIoWZrRf8,1163308,1,5ee39ca88b60190d32ef06c7
5ef2f028257e4b0c58127705,5ef2f028257e4b0c58127706,34.5512925170068,/current/EsekToq3xx4,6094892,1,5ef2efa2257e4b0c58127703
5f035c3ab2fc4f0c560563fe,5f035c3ab2fc4f0c560563ff,6.570666666666667,/current/t6em5XNkiIA,1261612,1,5f0251e8b2fc4f0c56056356
5f71fe76152f97652a3be89b,5f71fe76152f97652a3be89c,6.058666666666666,/current/yad0gj-ZDuE,1163308,15,5f6fc229152f97652a3be7cc
5fac3f12206e0d5fdec3df43,5fac3f12206e0d5fdec3df44,3.9938321995464854,/current/fphTHKZxD84,704556,1,5fac3e3e206e0d5fdec3df40
5f5e55e2152f97652a3bdf27,5f5e55e2152f97652a3bdf28,5.201269841269841,/current/QPe3QSw49_Y,917548,12,5f5953d8a74d36481bc994e6
5f858a87206e0d5fdec3d414,5f858a87206e0d5fdec3d415,24.33451247165533,/current/KFEQOAW4TYk,4292652,1,5f858a7e206e0d5fdec3d413
5fb2e9aa206e0d5fdec3e2cc,5fb2e9aa206e0d5fdec3e2cd,15.189333333333334,/current/ObAw6Hv5n0k,2916396,5,5fac4a3d206e0d5fdec3df56
5fa048596832dc5fe4ac581c,5fa048596832dc5fe4ac581d,1.1093333333333333,/current/sQND3WdnIjg,213036,1,5fa0481f6832dc5fe4ac581b
5fd02e81a1480d63858c6676,5fd02e81a1480d63858c6677,1.024,/current/5L4DQfVIcdg,196652,15,5fcaa9f495521063835ce56a
5fd156b395521063835cea64,5fd156b395521063835cea65,7.509333333333333,/current/QxXUcYVuZ88,1441836,1,5fd15673a1480d63858c67bf
5fd1ad2e95521063835ceaee,5fd1ad2e95521063835ceaef,3.584,/current/GclFUK4jefw,688172,3,5fd1a597a1480d63858c683e
5fd4397069f2192f63901522,5fd4397069f2192f63901523,6.912,/current/L8ql0_rVG6c,442412,1,5fd438e7ce0a842f6990af9f
5fdcc2cbce0a842f6990b37e,5fdcc2cbce0a842f6990b37f,57.77124716553288,/current/bLJXmwJu97Q,10190892,1,5fdcc157ce0a842f6990b37c
5fe27e66ce0a842f6990b61c,5fe27e66ce0a842f6990b61d,4.949333333333334,/current/jEdaQeR9lp8,950316,1,5fe27d84ce0a842f6990b619
601a8ab180c96d31ff118355,601a8ab180c96d31ff118356,1.3003174603174603,/current/j1B9aZwuZz8,229420,1,5f4589dea74d36481bc98fa2
6053c224aad36831fd7e72f1,6053c224aad36831fd7e72f2,11.690666666666667,/current/PQgXBhPh5Zo,2244652,22,603466c080c96d31ff118e6a
6053d29f80c96d31ff119cfb,6053d29f80c96d31ff119cfc,5.034666666666666,/current/NZcWedPKysk,966700,1,604fc53680c96d31ff11998c
602ec711aad36831fd7e62ac,602ec711aad36831fd7e62ad,83.968,/current/96Z_KB0RgyU,16121900,1,6020f9f9aad36831fd7e5bdb
602f89c980c96d31ff118bc0,602f89c980c96d31ff118bc1,7.616145124716553,/current/WjqiU5FgsYc,1343532,16,5bda1a5ef8b1ba0cbba19e26
607a0ebdaad36831fd7e8169,607a0ebdaad36831fd7e816a,1.1946666666666668,/current/2fqwIPhAY1Q,229420,1,607a0ba680c96d31ff11aacd
6033555280c96d31ff118dba,6033555280c96d31ff118dbb,15.603809523809524,/current/YcOofIqi4uw,2752556,1,603353ad80c96d31ff118db4
60ae846ef1539c07e70d4c9d,60ae846ef1539c07e70d4c9e,19.285333333333334,/current/lwfICoAv0zU,3702828,1,60ae04f3f1539c07e70d4c66
